"id","bedroom","bathroom","Den","address","lat","long","price","pet_friendly","parking","pop","owner"
1,2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.58163910,-79.64819300,2450,1,0,0,"4"
2,1,1,1,"361 Front St W, Toronto, ON M5V 3R5, Canada",43.64305050,-79.39164290,2150,0,0,0,"2"
3,1,1,0,"89 McGill Street, Toronto, ON, M5B 0B1",43.66060540,-79.37863540,1950,1,0,0,"1"
4,2,2,0,"10 York Street, Toronto, ON, M5J 0E1",43.64108680,-79.38140480,2900,0,0,0,"2"
5,1,1,0,"80 St Patrick St, Toronto, ON M5T 2X6, Canada",43.65248730,-79.38962180,1800,1,1,0,"1"
6,1,1,0,"87 Jameson Avenue, Toronto, ON, M6K 2W8",43.63489030,-79.43465410,1729,0,1,0,"4"
7,2,1,0,"700  Ross Street, Burlington, ON, L7S 1S2",43.32898550,-79.80861830,1685,1,0,0,"1"
8,1,1,0,"25 Telegram Mews, Toronto, ON, M5V 3Z2",43.64091790,-79.39398210,1900,0,0,0,"3"
9,1,1,0,"560 Front St W, toronto, ON, M5V 0L5",43.64130780,-79.40009330,1900,1,0,0,"2"
10,1,1,1,"70 Queens Wharf Rd 33rd Floor, Toronto, ON M5V 0J2, Canada",43.64006850,-79.39996040,2400,0,0,0,"1"
11,1,1,0,"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",43.66846790,-79.37483360,1750,0,0,0,"4"
12,2,1,0,"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",43.66846790,-79.37483360,2000,0,1,0,"3"
13,1,1,0,"555 Yonge St, Toronto, ON M4Y 3A6, Canada",43.66472330,-79.38408360,2200,0,0,0,"3"
14,1,1,1,"M5J, Canada",43.64081570,-79.38175230,2350,1,1,0,"3"
15,1,1,0,"295 Adelaide St W, Toronto, ON M5V 0L4, Canada",43.64762730,-79.39040810,2650,0,1,0,"3"
16,1,1,0,"191 - 201 Sherbourne, Toronto, ON, M5A 3X2",43.65674140,-79.36999480,1799,1,0,0,"4"
17,1,1,0,"191 - 201 Sherbourne, Toronto, ON, M5A 3X2",43.65674140,-79.36999480,1899,0,0,0,"4"
18,1,1,0,"89 McGill Street, Toronto, ON, M5B 0B1",43.66060540,-79.37863540,1950,1,0,0,"3"
19,2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.58163910,-79.64819300,2450,1,1,0,"4"
20,2,2,0,"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",43.63940550,-79.39323240,3150,1,0,0,"2"
21,2,2,0,"12 Yonge St, Toronto, ON M5E 1Z9, Canada",43.64310510,-79.37590600,3200,1,1,0,"1"
22,1,1,0,"438 Richmond St W, Toronto, ON M5V 1X9, Canada",43.64800530,-79.39683380,2500,1,0,0,"4"
23,1,1,1,"12 York St, Toronto, ON M5J 2Z2, Canada",43.64187260,-79.38190640,2400,1,0,0,"3"
24,1,1,0,"7934 Kipling Ave, Woodbridge, ON L4L 1Z5, Canada",43.78318970,-79.59856660,1750,0,0,0,"4"
25,2,2,0,"York St, Toronto, ON M5J 2Z2, Canada",43.64231440,-79.38122910,3100,1,0,0,"3"
26,2,2,0,"10 Park Lawn Rd, Etobicoke, ON M8Y 3K4, Canada",43.62328910,-79.48369510,2999,1,1,0,"3"
27,1,1,0,", Toronto M3H4Z2 ON, Canada",43.75988590,-79.44313840,1250,0,0,0,"2"
28,1,1,0,"33 Gamble Ave, East York, ON M4K 2H5, Canada",43.68936230,-79.35284810,1825,0,0,0,"3"
29,1,1,1,"9 George St N, Brampton, ON L6X 0T6, Canada",43.68528570,-79.76149220,1900,1,0,0,"1"
30,2,1,0,"33 Gamble Ave, East York, ON M4K 2H5, Canada",43.68936230,-79.35284810,2245,0,0,0,"4"
31,1,1,0,"10 York Street, Toronto, ON, M5J 0E1",43.64108680,-79.38140480,2200,1,1,0,"2"
32,1,1,0,"80 St Patrick St, Toronto, ON M5T 2X6, Canada",43.65248730,-79.38962180,1800,0,1,0,"1"
33,1,1,0,"10 York Street, Toronto, ON, M5J 0E1",43.64108680,-79.38140480,2200,1,1,0,"4"
34,2,2,0,"10 York Street, Toronto, ON, M5J 0E1",43.64108680,-79.38140480,2900,0,0,0,"1"
35,1,1,0,"126 Simcoe str, Toronto Downtown M5V 1T8 ON",43.64897270,-79.38729460,2299,0,0,0,"3"
36,1,1,0,"89 McGill Street, Toronto, ON, M5B 0B1",43.66060540,-79.37863540,1950,1,1,0,"1"
37,1,1,0,"89 McGill Street, Toronto, ON, M5B 0B1",43.66060540,-79.37863540,1950,1,0,0,"1"
38,2,2,0,"10 York Street, Toronto, ON, M5J 0E1",43.64108680,-79.38140480,2900,0,1,0,"3"
39,1,1,0,"28 Linden Street, Toronto, ON, M4Y 0A4",43.67087800,-79.37669580,1950,1,0,0,"2"
40,1,1,1,"832 Bay St, Toronto, ON M5S 1Z6, Canada",43.66192700,-79.38651120,2250,1,1,0,"4"
41,2,1,0,"1375 Stephenson Dr Unit 24, Burlington, ON L7S 2M5, Canada",43.33167440,-79.81535440,2000,0,1,0,"3"
42,2,2,0,"70 Temperance St, Toronto, ON M5H 0B1, Canada",43.65055970,-79.38207220,2800,0,1,0,"4"
43,1,1,0,"70 Temperance St, Toronto, ON M5H 0B1, Canada",43.65055970,-79.38207220,1900,1,0,0,"4"
44,1,1,0,"70 Temperance St, Toronto, ON M5H 0B1, Canada",43.65055970,-79.38207220,1900,0,0,0,"1"
45,1,1,0,"Downtown Port Credit, Mississauga, ON, L5G 1G4",43.55835250,-79.57886870,1727,1,1,0,"4"
46,2,1,0,"200 Dufferin Street, Toronto, ON, M6K 1Z4",43.63715270,-79.42709230,2230,1,0,0,"1"
47,1,1,0,"392 Sherbourne Street, Toronto, ON, M4X 1K3",43.66405570,-79.37379030,1785,0,0,0,"3"
48,1,1,0,"392 Sherbourne Street, Toronto, ON, M4X 1K3",43.66405570,-79.37379030,1535,0,0,0,"3"
49,2,2,0,"10 York Street, Toronto, ON, M5J 0E1",43.64108680,-79.38140480,2900,0,0,0,"3"
50,1,1,0,"80 St Patrick St, Toronto, ON M5T 2X6, Canada",43.65248730,-79.38962180,1800,0,1,0,"4"
51,2,2,0,"12 Yonge St, Toronto, ON M5E 1Z9, Canada",43.64310510,-79.37590600,3200,1,0,0,"4"
52,2,2,0,"290 Adelaide St W, Toronto, ON M5V 1P6, Canada",43.64787000,-79.39113800,2350,1,0,0,"4"
53,1,1,0,"200 Dufferin Street, Toronto, ON, M6K 1Z4",43.63715270,-79.42709230,1475,0,0,0,"4"
54,1,1,0,"36 Maitland Street, Toronto, ON, M4Y 1C5",43.66458080,-79.38229560,1815,0,0,0,"3"
55,1,1,0,"200 Dufferin Street, Toronto, ON, M6K 1Z4",43.63715270,-79.42709230,1755,1,0,0,"1"
56,1,1,0,"15 Merchants Wharf, Toronto, ON, M5A 0N8",43.64507750,-79.36434170,2450,1,0,0,"3"
57,1,1,0,"105 George St, Toronto, ON M5A 0L4, Canada",43.65221030,-79.37079880,2200,0,0,0,"3"
58,2,1,0,"Dunlop St E, Whitby, ON L1N, Canada",43.87927470,-78.93467330,1350,1,0,0,"1"
59,1,1,1,"224 King St W, Toronto, ON, M5H 0A6",43.64738010,-79.38727410,2400,0,1,0,"1"
60,1,1,1,"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",43.63940550,-79.39323240,2424,0,1,0,"2"
61,1,1,0,"565 Sherbourne Street, Toronto, ON, M4X 1W5",43.67015860,-79.37563790,1700,1,1,0,"1"
62,1,1,0,"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",43.66846790,-79.37483360,1400,1,0,0,"4"
63,1,1,0,"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",43.66846790,-79.37483360,1700,0,0,0,"3"
64,1,1,0,"171 Main Street North, Brampton, ON, L6X 0H4",43.68873980,-79.76426760,1500,0,1,0,"1"
65,2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.58163910,-79.64819300,2450,1,0,0,"3"
66,1,1,0,"126 Simcoe str, Toronto Downtown M5V 1T8 ON",43.64897270,-79.38729460,2299,1,0,0,"2"
67,2,2,0,"12 Yonge St, Toronto, ON M5E 1Z9, Canada",43.64310510,-79.37590600,3200,1,1,0,"1"
68,1,1,0,"318 Richmond St W, Toronto, ON M5V 0B4, Canada",43.64890010,-79.39220500,2550,0,1,0,"2"
69,2,2,0,"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",43.63940550,-79.39323240,3150,1,1,0,"1"
70,2,1,0,"171 Main Street North, Brampton, ON, L6X 0H4",43.68873980,-79.76426760,1775,0,1,0,"3"
71,1,1,0,"Enterprise Blvd, Markham, ON, Canada",43.85061910,-79.31939750,1750,0,1,0,"3"
72,1,1,0,"100 Harbour St, Toronto, ON M5J 1B7, Canada",43.64180640,-79.37898070,1830,0,1,0,"4"
